number of elements,reverse
2,6.8329999999977575e-06
12,0.0003191669999999952
22,0.0012485829999999976
32,0.0033066659999999998
42,0.007200666000000001
52,0.011457292000000008
62,0.018308500000000005
72,0.027443542
82,0.04706029199999999
92,0.055400958
102,0.07439770899999998
112,0.096413042
122,0.12268895899999993
132,0.15359266699999996
142,0.1913580410000001
152,0.23122225000000007
162,0.27788512499999984
172,0.3303850420000001
182,0.39151162500000014
192,0.45537358400000016
202,0.5320300000000002
212,0.6087028340000002
222,0.6992927090000003
232,0.8007825000000004
242,0.9034177909999999
252,1.016111875
262,1.1464515419999994
272,1.2705817499999998
282,1.4142928329999993
292,1.5704494170000007
302,1.7273372499999997
312,1.912279208000001
322,2.098804042000001
332,2.3019029169999996
342,2.525376584
352,2.753205083000001
362,3.042880167
372,3.2693156250000044
382,3.508923082999999
392,3.8210998749999945
402,4.111439540999996
412,4.429531082999993
422,4.699643166999998
432,5.096954374999996
442,5.4445926249999985
452,5.786805749999999
462,6.1640054169999985
472,6.665129957999994
482,7.160304624999995
492,7.519601416
502,8.086026333999996
512,8.435530624999998
522,8.940201290999994
532,9.519821457999996
542,10.018943665999984
552,10.674030625
562,11.27110291599999
572,11.86126225000001
582,12.902950624999988
592,13.169990167000009
602,13.832584999999995
612,14.529644625000003
622,15.283988000000022
632,16.01441379199997
642,16.829080750000003
652,17.517043958999977
662,18.32875008299999
672,19.241705249999995
682,20.323368291999998
692,21.256456875000026
702,22.064895707999995
712,23.124273415999994
722,23.903174665999984
732,24.912530249999975
742,26.436784208000006
752,27.128220916999965
762,28.349482791000014
772,29.324563375000025
782,31.26503175000005
792,32.724452875
802,36.708839291000004
812,35.93311783299998
822,36.91846291599995
832,37.50935395800002
842,38.65290850000008
852,40.333955625000044
862,42.857376292000026
872,43.07758362499999
882,44.32557258300005
892,45.72711425000011
902,47.876643708000074
912,49.77261145800003
922,52.31501474999982
932,53.88426804200003
942,54.463405417000104
952,58.604367540999874
962,58.447842249999894
972,63.64526016699983
982,63.95375633399999
