number of elments,reverse,almost sorted,shuffed,sorted
2,1.2100000000014877e-06,1.9200000000024753e-06,1.3199999999990997e-06,1.129999999988085e-06,
3,1.7290000000058647e-06,3.308999999993012e-06,1.7510000000081627e-06,1.66000000000055e-06,
4,1.3499999999971868e-06,2.1389999999982257e-06,1.7810000000062498e-06,1.6909999999981107e-06,
5,1.1399999999966992e-06,1.9089999999943874e-06,1.7400000000000748e-06,1.4200000000019752e-06,
6,1.3199999999990997e-06,1.2509999999937849e-06,1.17099999999426e-06,1.1200000000072263e-06,
7,1.1500000000053134e-06,1.1500000000053134e-06,1.1500000000053134e-06,1.1399999999966992e-06,
8,1.2710000000110133e-06,7.948999999993211e-06,5.53899999999885e-06,1.2290000000053647e-06,
9,1.1600000000000499e-06,1.5200000000048508e-06,1.1600000000000499e-06,1.1699999999947863e-06,
10,1.591000000009113e-06,3.240000000001575e-06,3.0000000000030003e-06,1.3809999999947475e-06,
11,1.7790000000073025e-06,3.5099999999982368e-06,2.240000000000575e-06,1.970000000003913e-06,
12,1.7409999999995485e-06,4.659999999989672e-06,2.6499999999929358e-06,1.8299999999943362e-06,
13,1.6699999999952864e-06,2.4799999999991496e-06,1.6000000000043757e-06,1.4600000000086766e-06,
14,1.7109999999875836e-06,2.0890000000106657e-06,1.9089999999943874e-06,1.3099999999766077e-06,
15,1.1600000000000499e-06,2.0200000000192286e-06,1.459000000009203e-06,1.8190000000140039e-06,
16,2.0209999999909467e-06,2.269999999998662e-06,1.7500000000225668e-06,1.1699999999947863e-06,
17,1.7090000000163919e-06,1.8999999999991246e-06,1.2700000000254175e-06,1.1410000000100506e-06,
18,1.4299999999967117e-06,2.179999999990523e-06,1.219999999996224e-06,1.8400000000029504e-06,
19,1.7810000000062498e-06,2.849999999998687e-06,2.0210000000187023e-06,1.6399999999971993e-06,
20,1.6800000000039006e-06,3.2509999999819073e-06,2.599999999991498e-06,1.7599999999895477e-06,
21,2.239999999986697e-06,3.3010000000111006e-06,2.500000000016378e-06,2.8400000000039505e-06,
22,1.7800000000067762e-06,2.8900000000053883e-06,1.668999999981935e-06,1.9699999999900353e-06,
23,1.8800000000096517e-06,3.0099999999977367e-06,2.459999999981921e-06,1.949999999972807e-06,
24,2.7809999999794943e-06,3.930999999984808e-06,3.6289999999772338e-06,1.8099999999909855e-06,
