number of elements,reverse,almost sorted,shuffled,sorted
2,3.8710000000011235e-05,2.813000000000121e-05,2.4860000000001548e-05,2.4209000000011138e-05
10002,0.729233456,0.738691343,0.8861440100000002,0.8241009669999997
20002,1.5414234320000002,1.7198029469999998,1.686349044,1.626086643999999
30002,2.580061001999999,2.6983305160000004,2.8021202559999985,2.4231960669999992
40002,3.6603291670000004,3.622664820999997,4.0864512540000035,3.626229119999998
50002,4.716177344999998,4.638857043000002,5.107127628999997,4.735389227000006
60002,5.629160091000003,5.488287651000007,6.330957255999991,5.799757333000002
70002,6.703307195000008,6.857524154000004,7.295235579999996,6.700332111000009
80002,7.55782476600001,7.803989338000008,8.842754248999995,7.503890520000027
90002,9.190238038000018,9.025214466999984,10.123576915000001,8.870683316000026
