number of elements,reverse
2,1.0666999999998927e-05
12,8.94999999999993e-05
22,0.0002685419999999966
32,0.000470667000000001
42,0.0007962909999999976
52,0.0013637920000000026
62,0.0016354170000000001
72,0.0022358749999999983
82,0.002922916999999997
92,0.003639749999999997
102,0.004514541999999996
112,0.005005124999999999
122,0.0055998329999999985
132,0.007998333999999996
142,0.0077542909999999965
152,0.009200916000000003
162,0.009950040999999993
172,0.012365125000000005
182,0.012893999999999989
192,0.01414658299999999
202,0.016414917
212,0.017314416
222,0.01982916700000001
232,0.02258837500000002
242,0.022401999999999977
252,0.025468292000000003
262,0.028378750000000008
272,0.03115904199999997
282,0.03035720799999997
292,0.033182708000000005
302,0.03620304099999999
312,0.03820275000000001
322,0.044176999999999966
332,0.045076500000000075
342,0.04698662500000006
352,0.04929433300000008
362,0.053971749999999985
372,0.06121433300000001
382,0.05953820800000009
392,0.065799041
402,0.066492667
412,0.07089241700000004
422,0.07147795900000009
432,0.07565312499999988
442,0.07883183299999996
452,0.08691704200000006
462,0.0905580829999999
472,0.09567183300000015
482,0.10481412500000009
492,0.10918091699999999
502,0.10610983400000018
512,0.11235679200000015
522,0.11869358400000007
532,0.1205251249999999
542,0.13465683299999975
552,0.13566083299999976
562,0.1346728330000002
572,0.14690333300000002
582,0.15622587500000007
592,0.15095012500000005
602,0.16089025
612,0.17829541700000018
622,0.18271212500000011
632,0.18566558300000002
642,0.18711354199999963
652,0.20503470800000034
662,0.2028622499999999
672,0.21025270799999962
682,0.22398366600000053
692,0.2293519169999998
702,0.2407273330000006
712,0.2445011250000002
722,0.24721716599999954
732,0.25356141700000023
742,0.2652562500000002
752,0.26514537499999946
762,0.27381595800000014
772,0.2856063749999995
782,0.2981464169999999
792,0.3077960830000004
802,0.3193497920000006
812,0.32971275000000055
822,0.32209862500000064
832,0.34162420799999893
842,0.34436987499999994
852,0.3711780830000002
862,0.37446091599999853
872,0.3726362080000012
882,0.38395670800000126
892,0.40082874999999873
902,0.4096096669999998
912,0.4097163340000005
922,0.4127274579999991
932,0.43996045799999983
942,0.4584168749999993
952,0.44927424999999843
962,0.45648254099999974
972,0.4889537920000002
982,0.4742102500000005
992,0.5045145420000008
