number of elements,reverse
2,4.291999999996021e-06
12,2.6999999999999247e-05
22,7.249999999999618e-05
32,0.0001426250000000004
42,0.0002344999999999986
52,0.0003742499999999996
62,0.000487833
72,0.0006423330000000019
82,0.0008290830000000013
92,0.0010336249999999964
102,0.0012744159999999935
112,0.0016247080000000025
122,0.001967125
132,0.002120999999999998
142,0.002398166
152,0.002746833000000004
162,0.003102166999999996
172,0.0035875829999999914
182,0.0038863750000000113
192,0.004201874999999994
202,0.0045673749999999985
212,0.005183332999999998
222,0.005554540999999996
232,0.006055624999999995
242,0.006798459000000007
252,0.00712974999999999
262,0.007919542000000002
272,0.008292124999999997
282,0.009017458000000006
292,0.009511875000000003
302,0.010250958000000004
312,0.011225582999999983
322,0.011935874999999985
332,0.012571499999999985
342,0.013639333000000003
352,0.014281457999999997
362,0.015383625000000012
372,0.01573454099999999
382,0.016232208999999997
392,0.01699612500000003
402,0.017861666
412,0.018802666000000023
422,0.020170041000000027
432,0.020496166999999954
442,0.021575625000000043
452,0.023141042
462,0.023503916999999985
472,0.02456154100000002
482,0.025525542000000012
492,0.026644708000000017
502,0.027810416999999976
512,0.02879816699999993
522,0.030067541999999947
532,0.031039625000000015
542,0.03235149999999998
552,0.03348516700000004
562,0.034838833000000013
572,0.036502207999999925
582,0.03712850000000001
592,0.03864224999999999
602,0.03968570800000004
612,0.04101858299999994
622,0.04298758400000002
632,0.04378237500000004
642,0.0451062499999999
652,0.04656466700000017
662,0.04793816700000009
672,0.049464375000000116
682,0.05253933399999999
692,0.053367000000000164
702,0.05698175000000005
712,0.05793229100000019
722,0.06129012499999997
732,0.06188424999999986
742,0.06125279199999989
752,0.062068082999999996
762,0.06391458300000008
772,0.06524604099999998
782,0.06680004199999989
792,0.0690580409999999
802,0.07033891699999995
812,0.07188745799999996
822,0.07702354099999997
832,0.07595541600000022
842,0.07894274999999995
852,0.07910325000000018
862,0.0810616249999998
872,0.08304200000000028
882,0.08476204099999984
892,0.08719187500000025
902,0.08888466699999986
912,0.09081108300000018
922,0.09278516699999972
932,0.09478912500000014
942,0.09680758299999992
952,0.09914012499999991
962,0.1023950410000003
972,0.1030987080000001
982,0.10529437499999972
992,0.10755662499999996
